"Archivo","Plantilla","Rubro","Categoría","Productos/Servicios"
"Alimentos y Bebidas/01-dashboard-financiero-Bodega.xlsx","Dashboard Financiero","Bodega","Alimentos y Bebidas","Arroz 5kg | Aceite 1L | Azúcar 1kg | Fideos 800g | Atún lata | Leche evaporada | Gaseosa 1.5L | Pan ciabatta"
"Alimentos y Bebidas/02-control-ventas-Bodega.xlsx","Control de Ventas","Bodega","Alimentos y Bebidas","Arroz 5kg | Aceite 1L | Azúcar 1kg | Fideos 800g | Atún lata | Leche evaporada | Gaseosa 1.5L | Pan ciabatta"
"Alimentos y Bebidas/03-inventario-Bodega.xlsx","Control de Inventario","Bodega","Alimentos y Bebidas","Arroz 5kg | Aceite 1L | Azúcar 1kg | Fideos 800g | Atún lata | Leche evaporada | Gaseosa 1.5L | Pan ciabatta"
"Alimentos y Bebidas/04-presupuesto-anual-Bodega.xlsx","Presupuesto Anual","Bodega","Alimentos y Bebidas","Arroz 5kg | Aceite 1L | Azúcar 1kg | Fideos 800g | Atún lata | Leche evaporada | Gaseosa 1.5L | Pan ciabatta"
"Alimentos y Bebidas/05-flujo-de-caja-Bodega.xlsx","Flujo de Caja","Bodega","Alimentos y Bebidas","Arroz 5kg | Aceite 1L | Azúcar 1kg | Fideos 800g | Atún lata | Leche evaporada | Gaseosa 1.5L | Pan ciabatta"
"Alimentos y Bebidas/06-gestion-proyectos-Bodega.xlsx","Gestión de Proyectos","Bodega","Alimentos y Bebidas","Arroz 5kg | Aceite 1L | Azúcar 1kg | Fideos 800g | Atún lata | Leche evaporada | Gaseosa 1.5L | Pan ciabatta"
"Alimentos y Bebidas/07-analisis-kpis-Bodega.xlsx","Análisis de KPIs","Bodega","Alimentos y Bebidas","Arroz 5kg | Aceite 1L | Azúcar 1kg | Fideos 800g | Atún lata | Leche evaporada | Gaseosa 1.5L | Pan ciabatta"
"Alimentos y Bebidas/08-control-gastos-Bodega.xlsx","Control de Gastos","Bodega","Alimentos y Bebidas","Arroz 5kg | Aceite 1L | Azúcar 1kg | Fideos 800g | Atún lata | Leche evaporada | Gaseosa 1.5L | Pan ciabatta"
"Alimentos y Bebidas/09-planilla-personal-Bodega.xlsx","Planilla de Personal","Bodega","Alimentos y Bebidas","Arroz 5kg | Aceite 1L | Azúcar 1kg | Fideos 800g | Atún lata | Leche evaporada | Gaseosa 1.5L | Pan ciabatta"
"Alimentos y Bebidas/10-cuentas-por-cobrar-Bodega.xlsx","Cuentas por Cobrar","Bodega","Alimentos y Bebidas","Arroz 5kg | Aceite 1L | Azúcar 1kg | Fideos 800g | Atún lata | Leche evaporada | Gaseosa 1.5L | Pan ciabatta"
"Alimentos y Bebidas/11-caja-diaria-Bodega.xlsx","Caja Diaria","Bodega","Alimentos y Bebidas","Arroz 5kg | Aceite 1L | Azúcar 1kg | Fideos 800g | Atún lata | Leche evaporada | Gaseosa 1.5L | Pan ciabatta"
"Alimentos y Bebidas/12-compras-proveedores-Bodega.xlsx","Compras y Proveedores","Bodega","Alimentos y Bebidas","Arroz 5kg | Aceite 1L | Azúcar 1kg | Fideos 800g | Atún lata | Leche evaporada | Gaseosa 1.5L | Pan ciabatta"
"Alimentos y Bebidas/13-balance-general-Bodega.xlsx","Balance General","Bodega","Alimentos y Bebidas","Arroz 5kg | Aceite 1L | Azúcar 1kg | Fideos 800g | Atún lata | Leche evaporada | Gaseosa 1.5L | Pan ciabatta"
